Title,Type,Edition Type,Edition,Strategy,Author,Copyright Owner,Source,Description
"Aegleseeker, over the Horizon",0,0,,4,Silentroom vs Frums,lowiro Ltd.,https://www.youtube.com/watch?v=6atS7dyEmTY,
Coastal Highway,0,0,,4,Glitch Droids,lowiro Ltd.,https://www.youtube.com/watch?v=Q4qDgqAqU5M,
ΟΔΥΣΣΕΙΑ,0,0,,4,Sober Bear,lowiro Ltd.,https://www.youtube.com/watch?v=wRE7URkwvUA,
Overwhelm,0,0,,4,xi,lowiro Ltd.,https://www.youtube.com/watch?v=-yg2jKbkQeQ,
Overwhelm,0,1,Long Version,4,xi,lowiro Ltd.,https://www.youtube.com/watch?v=sQMnYtbCExY,
Small Cloud Sugar Candy,0,0,,4,テヅカ x Aoi feat.桃雛なの,lowiro Ltd.,https://www.youtube.com/watch?v=KIr6v7f_xWE,
AlterAle,0,0,,4,Arik Kau Delay (アラ&かゆき&でり),lowiro Ltd.,https://www.youtube.com/watch?v=fOriX5_Poc4,
Divine Light of Myriad,0,0,,4,yoho,lowiro Ltd.,https://www.youtube.com/watch?v=U7GhOp87Y6I,
光速神授説 - Divine Light of Myriad -,0,0,,4,yoho,lowiro Ltd.,https://www.youtube.com/watch?v=U7GhOp87Y6I,
夜桜吹雪,0,0,,4,A.SAKA,lowiro Ltd. & COLLESTA Inc.,https://x.com/arcaea_en/status/932408724513349632,
Yosakura Fubuki,0,0,,4,A.SAKA,lowiro Ltd. & COLLESTA Inc.,https://x.com/arcaea_en/status/932408724513349632,
Quon,0,0,,4,Feryquitous,lowiro Ltd. & Noxy Games Inc.,https://x.com/arcaea_en/status/953190733825040384,
Quon-Extend-,0,0,,4,Feryquitous,lowiro Ltd. & Noxy Games Inc.,https://www.youtube.com/watch?v=ruhWr1Mna_8,
Sheriruth (Laur Remix),0,0,,4,Laur,"lowiro Ltd., Marvelous Inc. & HARDCORE TANO*C",https://www.youtube.com/watch?v=e09aoYJcNSU,
La'qryma of the Wasteland,0,0,,4,DJ Noriken,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=rSZiRe6BJ84,
La'qryma of the Wasteland,0,1,Extended Mix,4,DJ Noriken,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=dSuy7ZxxXYg,
Einherjar Joker,0,0,,4,DJ Genki vs Gram,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=j8AFRq9D6fI,
Einherjar Joker,0,1,Requiem EXTENDED MIX,4,DJ Genki vs Gram,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=pdmtqN68vOg,
IZANA,0,0,,4,t+pazolite vs P*Light,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=XBhicaYeXJs,
SAIKYO STRONGER,0,0,,4,REDALiCE vs USAO,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=c-ia2aYKByw,
最強STRONGER,0,0,,4,REDALiCE vs USAO,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=c-ia2aYKByw,
SAIKYO STRONGER,0,1,Extended Mix,4,REDALiCE vs USAO,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=XIndgYjLMVs,
最強STRONGER,0,1,Extended Mix,4,REDALiCE vs USAO,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=XIndgYjLMVs,
THE ULTIMACY,0,0,,4,aran vs Massive New Krew,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=jDUneL4xlTs,
REKKA RESONANCE,0,0,,4,REDALiCE vs Kobaryo,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=QkuauwgMb1E,
烈華RESONANCE,0,0,,4,REDALiCE vs Kobaryo,lowiro Ltd. & HARDCORE TANO*C,https://www.youtube.com/watch?v=QkuauwgMb1E,
秋の陽炎,0,0,,4,karatoPαnchii feat.はるの,lowiro Ltd. & peropero Ltd.,https://x.com/arcaea_en/status/1472854283729076228,
Haze of Autumn,0,0,,4,karatoPαnchii feat.はるの,lowiro Ltd. & peropero Ltd.,https://x.com/arcaea_en/status/1472854283729076228,
Lucid Traveler,0,0,,4,Akira Complex vs 3R2,lowiro Ltd. & Rayark Inc.,https://www.youtube.com/watch?v=POb7GrToSWY,
Auxesia,0,0,,4,ginkiha,lowiro Ltd.,https://www.youtube.com/watch?v=OB-ngSYIlV8,
Auxesia,0,1,Extended Ver.,4,ginkiha,lowiro Ltd.,https://www.youtube.com/watch?v=69IZmsBFP6U,
彼方の夢へと,0,0,,4,ii/night feat. 綺良雪,lowiro Ltd.,https://x.com/arcaea_en/status/1704646626936005109,
To the Furthest Dream,0,0,,4,ii/night feat. 綺良雪,lowiro Ltd.,https://x.com/arcaea_en/status/1704646626936005109,
Capella,0,0,,4,ARForest,lowiro Ltd.,https://www.youtube.com/watch?v=ITmdOBwFTkM,
Empire of Winter,0,0,,4,Street,lowiro Ltd.,https://www.youtube.com/watch?v=frJsOr4yFpQ,
γuarδina,0,0,,4,Aoi,lowiro Ltd.,https://www.youtube.com/watch?v=rFy2l3TE2Bg,
Alexandrite,0,0,,4,WAiKURO,lowiro Ltd.,https://www.youtube.com/watch?v=jq44MiAgZVc,
Alexandrite,0,1,Extended Mix,4,WAiKURO,lowiro Ltd.,https://www.youtube.com/watch?v=4mkuAoFy2mo,
Evening in Scarlet,0,0,,4,Freezer(feat.妃苺),lowiro Ltd.,https://x.com/arcaea_en/status/1428507572311666692,
緋纏いの宵,0,0,,4,Freezer(feat.妃苺),lowiro Ltd.,https://x.com/arcaea_en/status/1428507572311666692,
Xeraphinite,0,0,,4,BlackY,lowiro Ltd.,https://www.youtube.com/watch?v=VH7LJwD-Nvs,
Xeraphinite,0,1,Extended Ver.,4,BlackY,lowiro Ltd.,https://www.youtube.com/watch?v=lBxgQyp5Kes,
Summer Fireworks of Love,0,0,,4,karatoPαnchii feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=jeVwSME1DNw,
彩る夏の恋花火,0,0,,4,karatoPαnchii feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=jeVwSME1DNw,
Summer Fireworks of Love,0,1,Full Version,4,karatoPαnchii feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=HuSVYVuxSOA,
彩る夏の恋花火,0,1,Full Version,4,karatoPαnchii feat.はるの,lowiro Ltd.,https://www.youtube.com/watch?v=HuSVYVuxSOA,
NULL APOPHENIA,0,0,,4,N²,lowiro Ltd.,https://www.youtube.com/watch?v=z-3XBYnKaCU,
Avant Raze,0,0,,4,Sampling Masters MEGA,lowiro Ltd.,https://www.youtube.com/watch?v=5rV1FO1a9T0,
Mirzam,0,0,,4,Aoi vs. siqlo,lowiro Ltd.,https://www.youtube.com/watch?v=vArZT5N5F-0,
GIMME DA BLOOD,0,0,,4,C-Show,lowiro Ltd.,https://www.youtube.com/watch?v=PuRuwdVVj0U,
GIMME DA BLOOD,0,1,Transfusion mix,4,C-Show,lowiro Ltd.,https://www.youtube.com/watch?v=48qopptVcdI,
Metallic Punisher,0,0,,4,INNOCENT NOIZE,lowiro Ltd.,https://www.youtube.com/watch?v=1oneYK3aSbQ,
Metallic Punisher,0,1,Extended Ver.,4,siromaru,lowiro Ltd.,https://www.youtube.com/watch?v=1oneYK3aSbQ,
Crimson Throne,0,0,,4,Dimier√Lisb,lowiro Ltd.,https://www.youtube.com/watch?v=47WL-57FyzI,
Manic Jeer,0,0,,4,ルゼ,lowiro Ltd.,https://www.youtube.com/watch?v=NQwxItTXUb8,
Malicious Mischance,0,0,,4,s-don,lowiro Ltd.,https://www.youtube.com/watch?v=yYxNX_lLvxE,
Mistempered Malignance,0,0,,4,s-don vs nitro (lowiro),lowiro Ltd.,https://x.com/arcaea_en/status/1509683155112022019,
Malicious Mischance -Always Behind You-,0,0,,4,s-don,lowiro Ltd.,https://www.youtube.com/watch?v=v1IOdKYI2p8,
carmine:scythe,0,0,,4,かゆき,lowiro Ltd.,https://www.youtube.com/watch?v=w8lQeusK19w,
Scarlet Cage,0,0,,4,Daisuke Kurosawa,lowiro Ltd.,https://www.youtube.com/watch?v=dKd9yEmlNSQ,
Scarlet Cage,0,1,Long Version,4,Daisuke Kurosawa,lowiro Ltd.,https://www.youtube.com/watch?v=Nueb_BUhq8I,
Phantasia,0,0,,4,Yunosuke,lowiro Ltd.,https://www.youtube.com/watch?v=Wlnwc7-tOIc,
MAHOROBA,0,0,,4,Zekk,lowiro Ltd.,https://www.youtube.com/watch?v=SxKidP-8Zpw,
init,0,1,,4,kamome sano,lowiro Ltd.,https://x.com/arcaea_en/status/1481415949001629707,
NEO WINGS,0,0,,4,SOUND HOLIC feat. Nana Takahashi,lowiro Ltd.,https://www.youtube.com/watch?v=_GbMdhN1kOg,
NEO WINGS,0,1,-Extend Version-,4,SOUND HOLIC feat. Nana Takahashi,lowiro Ltd.,http://sound-holic.com/rts19/work/work01.html,
Kissing Lucifer,0,0,,4,ETIA.,lowiro Ltd.,https://www.youtube.com/watch?v=7YZ2-uc6wuA,
Free Myself,0,0,,4,lapix feat. mami,lowiro Ltd.,https://x.com/arcaea_en/status/1589407287906533376,
cocoro*cosmetic,0,0,,4,KOTONOHOUSE,lowiro Ltd.,https://x.com/arcaea_en/status/1589407287906533376,
To the Milky Way,0,0,,4,黒魔,lowiro Ltd.,https://www.youtube.com/watch?v=xomBq06owh8,
Heavenly caress,0,0,,4,Noah,lowiro Ltd.,https://www.youtube.com/watch?v=4V6arKxxaHk,
Heavenly caress,0,1,long ver.,4,Noah,lowiro Ltd.,https://www.youtube.com/watch?v=ANYbho5M7uQ,
Filament,0,0,,4,Puru,lowiro Ltd.,https://www.youtube.com/watch?v=UcvkBkcLEGM,
Redolent Shape,0,0,,4,KT。,lowiro Ltd.,https://www.youtube.com/watch?v=OJHgPv_TpTM,
Be There,0,0,,4,PSYQUI,lowiro Ltd.,https://www.youtube.com/watch?v=zcVmHs_WzXU,
Be There (HiTECH NINJA Remix),0,0,,4,HiTECH NINJA,lowiro Ltd.,https://www.youtube.com/watch?v=xVnpaW6vB_g,
Impure Bird,0,0,,4,Missionary,lowiro Ltd.,https://www.youtube.com/watch?v=JB-CFa7S49A,
不浄な白い鳥,0,0,,4,Missionary,lowiro Ltd.,https://www.youtube.com/watch?v=JB-CFa7S49A,
Xanatos,0,0,,4,Tatsh,lowiro Ltd.,https://www.youtube.com/watch?v=iU2lQq5lENk,
Xanatos -Platinum long ver-,0,0,,4,Tatsh,lowiro Ltd.,https://tatshmusiccircle.booth.pm/items/2797884,
Xanatos -Nhato Remix-,0,0,,4,Tatsh,lowiro Ltd.,https://www.diverse.direct/tatshmusiccircle/tmccd-042/,
Libertas,0,0,,4,Zekk,lowiro Ltd.,https://www.youtube.com/watch?v=P4HBJQINrmQ,
Libertas,0,1,Extended Mix,4,Zekk,lowiro Ltd.,https://www.youtube.com/watch?v=QvQRkaFrI1A,
Modelista,0,0,,4,HiTECH NINJA,lowiro Ltd.,https://www.youtube.com/watch?v=Q6RVv_muR4g,
Modelista,0,1,Extended,4,HiTECH NINJA,lowiro Ltd.,https://megarex.jp/mrx-048/,
Macrocosmic Modulation,0,0,,4,JAKAZiD,lowiro Ltd.,https://x.com/arcaea_en/status/1492287334217355264,
Fallensquare,0,0,,4,Silentroom,lowiro Ltd.,https://www.youtube.com/watch?v=pZ9XSf5b-yo,
Fallensquare,0,1,"""Arcade"" Full Version",4,Silentroom,lowiro Ltd.,https://www.youtube.com/watch?v=N7OjOyN_8-I,
dropdead,0,0,,4,Frums,lowiro Ltd.,https://www.youtube.com/watch?v=Ow4eYirS-2A,
overdead.,0,0,,4,fn (Frums & Nitro),lowiro Ltd.,https://www.youtube.com/watch?v=NYw8AQATYfE,
Astral tale,0,0,,4,Noah,lowiro Ltd.,https://www.youtube.com/watch?v=kHRmXem_Sc4,
Astral tale - Denebold,0,0,,4,Noah,lowiro Ltd.,https://www.youtube.com/watch?v=dB4TwEhgXcg,
amygdata,0,0,,4,Nitro,lowiro Ltd.,https://www.youtube.com/watch?v=8wfkOoC_1Mk,
AttraqtiA,0,0,,4,かめりあ,lowiro Ltd.,https://www.youtube.com/watch?v=ENmJj81yDeI,
BADTEK,0,0,,4,EBIMAYO,lowiro Ltd.,https://www.youtube.com/watch?v=TFP3fWjKe3U,
BADTEK,0,1,Extended,4,EBIMAYO,lowiro Ltd.,https://www.youtube.com/watch?v=ASWaEVELNA8,
μ,0,0,,4,Frums,lowiro Ltd.,https://www.youtube.com/watch?v=iwYq9FVw3YQ,
PRIMITIVE LIGHTS,0,0,,4,TAG,lowiro Ltd.,https://www.youtube.com/watch?v=wcxwjSVP8oI,
Wish Upon a Snow,0,0,,4,打打だいず,lowiro Ltd.,https://www.youtube.com/watch?v=0L0J8PhHy0E,
